id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
152,36690,CBI,00:00.0,29,7,1944,10 AF,USA,NULL,BURMA,PANGHKAM,BRIDGE,NULL,NULL,NULL,2240,9725,22.66666667,97.41666667,529 FS,P51,P51,1,1,NULL,8,15,1500,16,250 lb GP (GP-M57),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff00ccff,NULL,NULL,NULL,NULL,NULL
159,49797,CBI,00:00.0,29,7,1944,14 AF,USA,NULL,CHINA,LILING,BRIDGE,NULL,NULL,NULL,2741,11330,27.68333333,113.5,76 FS,P51,P51,1,1,NULL,6,70,7000,12,500 lb GP (GP-M43/M64),NULL,3,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
164,29317,CBI,00:00.0,29,7,1944,10 AF,USA,NULL,BURMA,CHYAHKAN,VILLAGE,NULL,NULL,NULL,2420,9725,24.33333333,97.41666667,530 FS,P51,P51,10,1,NULL,4,20,2000,8,500 lb GP (GP-M43/M64),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff00ccff,NULL,NULL,NULL,NULL,NULL
169,35437,CBI,00:00.0,29,7,1944,10 AF,USA,NULL,BURMA,NAMANA,UNIDENTIFIED TARGET,NULL,NULL,NULL,2510,9640,25.16666667,96.66666667,528 FS,P51,P51,10,1,NULL,2,25,2500,8,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff00ccff,NULL,NULL,NULL,NULL,NULL
170,35438,CBI,00:00.0,29,7,1944,10 AF,USA,NULL,BURMA,NAMANA,UNIDENTIFIED TARGET,NULL,NULL,NULL,2510,9640,25.16666667,96.66666667,528 FS,P51,P51,10,1,NULL,2,25,2500,8,250 lb GP (GP-M57),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff00ccff,NULL,NULL,NULL,NULL,NULL
211,48624,CBI,00:00.0,16,2,1945,14 AF,USA,NULL,CHINA,HAINAN ISLAND,UNIDENTIFIELD TARGET,NULL,NULL,NULL,3036,11420,30.6,114.3333333,16 FS,P51,P51,12,1,NULL,3,1,100,0,100 lb GP (GP-M30),NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
213,48625,CBI,00:00.0,16,2,1945,14 AF,USA,NULL,CHINA,HAINAN ISLAND,UNIDENTIFIELD TARGET,NULL,NULL,NULL,3036,11420,30.6,114.3333333,16 D,P51,P51,12,1,NULL,NULL,NULL,NULL,0,500 lb GP (GP-M43/M64),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
1022,49798,CBI,00:00.0,30,7,1944,14 AF,USA,NULL,CHINA,LILING,BRIDGE,NULL,NULL,NULL,2741,11330,27.68333333,113.5,76 FS,P51,P51,1,1,NULL,11,60,6000,16,500 lb GP (GP-M43/M64),NULL,4,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ffa4b545,NULL,NULL,NULL,NULL,NULL
1164,16180,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CORREGIDOR,UNIDENTIFIED TARGET,NULL,NULL,NULL,1425,12035,14.41666667,120.5833333,341 FS,P51,P51,10,1,NULL,4,1,8,NULL,500 lb GP (GP-M43/M64),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
1165,15388,PTO,00:00.0,16,2,1945,5 AF,USA,NULL,PHILIPPINE ISLANDS,CABALLO,UNIDENTIFIED TARGET,NULL,NULL,NULL,1420,12035,14.33333333,120.5833333,341 FS,P51,P51,1,1,NULL,4,1,8,NULL,500 lb GP (GP-M43/M64),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff111111,http://maps.google.com/mapfiles/kml/shapes/triangle.png,NULL,ff0000ff,NULL,NULL,NULL,NULL,NULL
