id,Master_Index_Number,Theater,MsnDate,Day,Month,Year,NAF,Country_Flying_Mission,TGT_Country_Code,Country_Name,Location_Name,Target_Type_Description,Target_ID_Code,TGT_Industry_Code,Target_Industry_Description,Source_Lat,Source_Lon,Lat,Lon,Unit_ID,MDS,Aircraft_name,Msn_Type,Target_Priority,Target_priority_Explanation,Attacking_AC,Altitude,Altitude_Feet,Number_of_HE,Type_of_HE,lbs_HE,Tons_of_HE,Number_of_IC,Type_of_IC,lbs_IC,Tons_of_IC,Number_of_Frag,Type_of_FRAG,lbs_Frag,Tons_of_Frag,Total_lbs,TOTAL_TONS,Source_Launch_Base,Source_Launch_Base_Country,Source_Launch_Base_Lat,Source_Launch_Base_Long,Sortie_Dupe,Total_AC_Lost,Total_AC_Damaged,Airborne_AC,Number_of_AC_Dropping_Bombs,Time_over_Target,Sighting_Method_Code,Sighting_Explanation,BDA,Speed,Callsign,Rounds_Ammo,#_Escort_Planes,Type_of_Escort_Planes,Spares_Return_AC,WX_Fail_AC,Mech_Fail_AC,Misc_Fail_AC,Other_Fail_AC,TONS_LOST__JETTISONED,GE_ICON_Color,GE_Color_Code,GE_icon,KML_Date,NAF_Color_Code,Target_Comment,Mission_Comments,Source,Database_Edit_Comments,Speed__MPH_
95,45988,PTO,00:00.0,15,8,1943,13 AF,USA,NULL,SOLOMON ISLANDS,IGHITI,SUPPLY AREAS,NULL,NULL,NULL,734,15843,-7.566666667,158.7166667,75 BS,B25,B25,1,1,NULL,11,10,64,NULL,250 lb GP (GP-M57),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff9999ff,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
97,46767,PTO,00:00.0,16,8,1943,13 AF,USA,NULL,SOLOMON ISLANDS,REKATA BAY,UNIDENTIFIED TARGET,NULL,NULL,NULL,734,15841,-7.566666667,158.6833333,424 BS,B24,B24,1,2,NULL,3,130,13000,60,100 lb GP (GP-M30),NULL,3,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
100,45789,PTO,00:00.0,16,8,1943,13 AF,USA,NULL,SOLOMON ISLANDS,BUKA,AIRDROME,NULL,NULL,NULL,525,15442,-5.416666667,154.7,424 BS,B24,B24,1,1,NULL,1,180,18000,20,100 lb GP (GP-M30),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
108,41676,PTO,00:00.0,28,7,1944,13 AF,USA,NULL,CAROLINE ISLANDS,WOLEAI ISLAND ,SUPPLY AREA,NULL,NULL,NULL,722,14355,7.366666667,143.9166667,31 BS,B24,B24,1,1,NULL,6,125,180,NULL,100 lb GP (GP-M30),NULL,9,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
109,41609,PTO,00:00.0,28,7,1944,13 AF,USA,NULL,CAROLINE ISLANDS,WOLEAI ISLAND ,AIRDROME,NULL,NULL,NULL,722,14355,7.366666667,143.9166667,394 BS,B24,B24,1,1,NULL,6,120,160,NULL,100 lb GP (GP-M30),NULL,8,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
112,41608,PTO,00:00.0,28,7,1944,13 AF,USA,NULL,CAROLINE ISLANDS,WOLEAI ISLAND ,AIRDROME,NULL,NULL,NULL,722,14355,7.366666667,143.9166667,72 BS,B24,B24,1,1,NULL,6,85,140,NULL,100 lb GP (GP-M30),NULL,7,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
113,41675,PTO,00:00.0,28,7,1944,13 AF,USA,NULL,CAROLINE ISLANDS,WOLEAI ISLAND ,SUPPLY AREA,NULL,NULL,NULL,722,14355,7.366666667,143.9166667,23 B,B24,B24,1,1,NULL,5,137,120,NULL,100 lb GP (GP-M30),NULL,6,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
206,44797,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,PHILIPPINE ISLANDS,LICUAN,AIDROME,NULL,NULL,NULL,1735,12050,17.58333333,120.8333333,68 FS,P38,P38,1,1,NULL,3,35,3500,4,1000 lb GP (GP-M44/M65),NULL,2,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff0000,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
209,44943,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,PHILIPPINE ISLANDS,MATINA,AIRDROME,NULL,NULL,NULL,705,12535,7.083333333,125.5833333,339 FS,P38,P38,1,1,NULL,2,50,5000,2,1000 lb GP (GP-M44/M65),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ffff0000,http://maps.google.com/mapfiles/kml/shapes/road_shield3.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
214,42331,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,CELEBES ISLANDS,KENDARI,AIRDROME,NULL,NULL,NULL,404,12240,-4.066666667,122.6666667,5 BG,B24,B24,1,1,NULL,17,156,15600,NULL,,NULL,NULL,NULL,100 lb Incendiary,NULL,6,292.3076923,260 lb Frag,NULL,38,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
215,42333,PTO,00:00.0,16,2,1945,13 AF,USA,NULL,CELEBES ISLANDS,KENDARI,AIRDROME,NULL,NULL,NULL,404,12240,-4.066666667,122.6666667,307 BG,B24,B24,1,1,NULL,17,145,14500,NULL,,NULL,NULL,NULL,100 lb Incendiary,NULL,2,400,260 lb Frag,NULL,52,NULL,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
301,46766,PTO,00:00.0,16,8,1943,13 AF,USA,NULL,SOLOMON ISLANDS,REKATA BAY,UNIDENTIFIED TARGET,NULL,NULL,NULL,734,15841,-7.566666667,158.6833333,372 BS,B24,B24,1,2,NULL,1,95,9500,20,100 lb GP (GP-M30),NULL,1,NULL,,NULL,NULL,NULL,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ff000000,http://maps.google.com/mapfiles/kml/shapes/square.png,NULL,Pumpkin,NULL,NULL,NULL,NULL,NULL
